absEta_1.566_2-gold-Et_71_72     runNumber   3   999999   1.0002 0.0   0.0   0.0
absEta_1.566_2-gold-Et_72_73     runNumber   3   999999   1.0002 0.0   0.0   0.0
absEta_1.566_2-gold-Et_73_74     runNumber   3   999999   1.0002 0.0   0.0   0.0
absEta_1.566_2-gold-Et_74_75     runNumber   3   999999   1.0002 0.0   0.0   0.0
absEta_1.566_2-gold-Et_75_76     runNumber   3   999999   1.0002 0.0   0.0   0.0
absEta_1.566_2-gold-Et_76_77     runNumber   3   999999   1.0002 0.0   0.0   0.0
absEta_1.566_2-gold-Et_77_78     runNumber   3   999999   1.0002 0.0   0.0   0.0
absEta_1.566_2-gold-Et_78_79     runNumber   3   999999   1.0002 0.0   0.0   0.0
absEta_1.566_2-gold-Et_79_80     runNumber   3   999999   1.0002 0.0   0.0   0.0
absEta_1.566_2-gold-Et_80_10000   runNumber   3   999999   1.0002 0.0   0.0   0.0
absEta_1.566_2-bad-Et_0_20       runNumber   3   999999   1.0201 0.0   0.0   0.0
absEta_1.566_2-bad-Et_20_21      runNumber   3   999999   1.0193 0.0   0.0   0.0
absEta_1.566_2-bad-Et_21_22      runNumber   3   999999   1.0179 0.0   0.0   0.0
absEta_1.566_2-bad-Et_22_23      runNumber   3   999999   1.0166 0.0   0.0   0.0
absEta_1.566_2-bad-Et_23_24      runNumber   3   999999   1.0155 0.0   0.0   0.0
absEta_1.566_2-bad-Et_24_25      runNumber   3   999999   1.0145 0.0   0.0   0.0
absEta_1.566_2-bad-Et_25_26      runNumber   3   999999   1.0137 0.0   0.0   0.0
absEta_1.566_2-bad-Et_26_27      runNumber   3   999999   1.0129 0.0   0.0   0.0
absEta_1.566_2-bad-Et_27_28      runNumber   3   999999   1.0122 0.0   0.0   0.0
absEta_1.566_2-bad-Et_28_29      runNumber   3   999999   1.0116 0.0   0.0   0.0
absEta_1.566_2-bad-Et_29_30      runNumber   3   999999   1.0110 0.0   0.0   0.0
absEta_1.566_2-bad-Et_30_31      runNumber   3   999999   1.0105 0.0   0.0   0.0
absEta_1.566_2-bad-Et_31_32      runNumber   3   999999   1.0100 0.0   0.0   0.0
absEta_1.566_2-bad-Et_32_33      runNumber   3   999999   1.0096 0.0   0.0   0.0
absEta_1.566_2-bad-Et_33_34      runNumber   3   999999   1.0092 0.0   0.0   0.0
absEta_1.566_2-bad-Et_34_35      runNumber   3   999999   1.0089 0.0   0.0   0.0
absEta_1.566_2-bad-Et_35_36      runNumber   3   999999   1.0086 0.0   0.0   0.0
absEta_1.566_2-bad-Et_36_37      runNumber   3   999999   1.0083 0.0   0.0   0.0
absEta_1.566_2-bad-Et_37_38      runNumber   3   999999   1.0080 0.0   0.0   0.0
absEta_1.566_2-bad-Et_38_39      runNumber   3   999999   1.0078 0.0   0.0   0.0
absEta_1.566_2-bad-Et_39_40      runNumber   3   999999   1.0076 0.0   0.0   0.0
absEta_1.566_2-bad-Et_40_41      runNumber   3   999999   1.0074 0.0   0.0   0.0
absEta_1.566_2-bad-Et_41_42      runNumber   3   999999   1.0072 0.0   0.0   0.0
absEta_1.566_2-bad-Et_42_43      runNumber   3   999999   1.0071 0.0   0.0   0.0
absEta_1.566_2-bad-Et_43_44      runNumber   3   999999   1.0070 0.0   0.0   0.0
absEta_1.566_2-bad-Et_44_45      runNumber   3   999999   1.0068 0.0   0.0   0.0
absEta_1.566_2-bad-Et_45_46      runNumber   3   999999   1.0067 0.0   0.0   0.0
absEta_1.566_2-bad-Et_46_47      runNumber   3   999999   1.0066 0.0   0.0   0.0
absEta_1.566_2-bad-Et_47_48      runNumber   3   999999   1.0065 0.0   0.0   0.0
absEta_1.566_2-bad-Et_48_49      runNumber   3   999999   1.0064 0.0   0.0   0.0
absEta_1.566_2-bad-Et_49_50      runNumber   3   999999   1.0064 0.0   0.0   0.0
absEta_1.566_2-bad-Et_50_51      runNumber   3   999999   1.0063 0.0   0.0   0.0
absEta_1.566_2-bad-Et_51_52      runNumber   3   999999   1.0062 0.0   0.0   0.0
absEta_1.566_2-bad-Et_52_53      runNumber   3   999999   1.0062 0.0   0.0   0.0
absEta_1.566_2-bad-Et_53_54      runNumber   3   999999   1.0061 0.0   0.0   0.0
absEta_1.566_2-bad-Et_54_55      runNumber   3   999999   1.0061 0.0   0.0   0.0
absEta_1.566_2-bad-Et_55_56      runNumber   3   999999   1.0061 0.0   0.0   0.0
absEta_1.566_2-bad-Et_56_57      runNumber   3   999999   1.0060 0.0   0.0   0.0
absEta_1.566_2-bad-Et_57_58      runNumber   3   999999   1.0060 0.0   0.0   0.0
absEta_1.566_2-bad-Et_58_59      runNumber   3   999999   1.0060 0.0   0.0   0.0
absEta_1.566_2-bad-Et_59_60      runNumber   3   999999   1.0060 0.0   0.0   0.0
absEta_1.566_2-bad-Et_60_61      runNumber   3   999999   1.0060 0.0   0.0   0.0
absEta_1.566_2-bad-Et_61_62      runNumber   3   999999   1.0060 0.0   0.0   0.0
absEta_1.566_2-bad-Et_62_63      runNumber   3   999999   1.0060 0.0   0.0   0.0
absEta_1.566_2-bad-Et_63_64      runNumber   3   999999   1.0060 0.0   0.0   0.0
absEta_1.566_2-bad-Et_64_65      runNumber   3   999999   1.0060 0.0   0.0   0.0
absEta_1.566_2-bad-Et_65_66      runNumber   3   999999   1.0060 0.0   0.0   0.0
absEta_1.566_2-bad-Et_66_67      runNumber   3   999999   1.0060 0.0   0.0   0.0
absEta_1.566_2-bad-Et_67_68      runNumber   3   999999   1.0060 0.0   0.0   0.0
absEta_1.566_2-bad-Et_68_69      runNumber   3   999999   1.0060 0.0   0.0   0.0
absEta_1.566_2-bad-Et_69_70      runNumber   3   999999   1.0060 0.0   0.0   0.0
absEta_1.566_2-bad-Et_70_71      runNumber   3   999999   1.0060 0.0   0.0   0.0
absEta_1.566_2-bad-Et_71_72      runNumber   3   999999   1.0061 0.0   0.0   0.0
absEta_1.566_2-bad-Et_72_73      runNumber   3   999999   1.0061 0.0   0.0   0.0
absEta_1.566_2-bad-Et_73_74      runNumber   3   999999   1.0061 0.0   0.0   0.0
absEta_1.566_2-bad-Et_74_75      runNumber   3   999999   1.0061 0.0   0.0   0.0
absEta_1.566_2-bad-Et_75_76      runNumber   3   999999   1.0061 0.0   0.0   0.0
absEta_1.566_2-bad-Et_76_77      runNumber   3   999999   1.0062 0.0   0.0   0.0
absEta_1.566_2-bad-Et_77_78      runNumber   3   999999   1.0062 0.0   0.0   0.0
absEta_1.566_2-bad-Et_78_79      runNumber   3   999999   1.0062 0.0   0.0   0.0
absEta_1.566_2-bad-Et_79_80      runNumber   3   999999   1.0062 0.0   0.0   0.0
absEta_1.566_2-bad-Et_80_10000   runNumber   3   999999   1.0063 0.0   0.0   0.0
absEta_2_2.5-gold-Et_0_20        runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_20_21       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_21_22       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_22_23       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_23_24       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_24_25       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_25_26       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_26_27       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_27_28       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_28_29       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_29_30       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_30_31       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_31_32       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_32_33       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_33_34       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_34_35       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_35_36       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_36_37       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_37_38       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_38_39       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_39_40       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_40_41       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_41_42       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_42_43       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_43_44       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_44_45       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_45_46       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_46_47       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_47_48       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_48_49       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_49_50       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_50_51       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_51_52       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_52_53       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_53_54       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_54_55       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_55_56       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_56_57       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_57_58       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_58_59       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_59_60       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_60_61       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_61_62       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_62_63       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_63_64       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_64_65       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_65_66       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_66_67       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_67_68       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_68_69       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_69_70       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_70_71       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_71_72       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_72_73       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_73_74       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_74_75       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_75_76       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_76_77       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_77_78       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_78_79       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_79_80       runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-gold-Et_80_10000    runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_2_2.5-bad-Et_0_20         runNumber   3   999999   1.0059 0.0   0.0   0.0
absEta_2_2.5-bad-Et_20_21        runNumber   3   999999   1.0055 0.0   0.0   0.0
absEta_2_2.5-bad-Et_21_22        runNumber   3   999999   1.0046 0.0   0.0   0.0
absEta_2_2.5-bad-Et_22_23        runNumber   3   999999   1.0039 0.0   0.0   0.0
absEta_2_2.5-bad-Et_23_24        runNumber   3   999999   1.0031 0.0   0.0   0.0
absEta_2_2.5-bad-Et_24_25        runNumber   3   999999   1.0025 0.0   0.0   0.0
absEta_2_2.5-bad-Et_25_26        runNumber   3   999999   1.0018 0.0   0.0   0.0
absEta_2_2.5-bad-Et_26_27        runNumber   3   999999   1.0012 0.0   0.0   0.0
absEta_2_2.5-bad-Et_27_28        runNumber   3   999999   1.0007 0.0   0.0   0.0
absEta_2_2.5-bad-Et_28_29        runNumber   3   999999   1.0001 0.0   0.0   0.0
absEta_2_2.5-bad-Et_29_30        runNumber   3   999999   0.9996 0.0   0.0   0.0
absEta_2_2.5-bad-Et_30_31        runNumber   3   999999   0.9991 0.0   0.0   0.0
absEta_2_2.5-bad-Et_31_32        runNumber   3   999999   0.9987 0.0   0.0   0.0
absEta_2_2.5-bad-Et_32_33        runNumber   3   999999   0.9983 0.0   0.0   0.0
absEta_2_2.5-bad-Et_33_34        runNumber   3   999999   0.9978 0.0   0.0   0.0
absEta_2_2.5-bad-Et_34_35        runNumber   3   999999   0.9974 0.0   0.0   0.0
absEta_2_2.5-bad-Et_35_36        runNumber   3   999999   0.9971 0.0   0.0   0.0
absEta_2_2.5-bad-Et_36_37        runNumber   3   999999   0.9967 0.0   0.0   0.0
absEta_2_2.5-bad-Et_37_38        runNumber   3   999999   0.9963 0.0   0.0   0.0
absEta_2_2.5-bad-Et_38_39        runNumber   3   999999   0.9960 0.0   0.0   0.0
absEta_2_2.5-bad-Et_39_40        runNumber   3   999999   0.9957 0.0   0.0   0.0
absEta_2_2.5-bad-Et_40_41        runNumber   3   999999   0.9954 0.0   0.0   0.0
absEta_2_2.5-bad-Et_41_42        runNumber   3   999999   0.9951 0.0   0.0   0.0
absEta_2_2.5-bad-Et_42_43        runNumber   3   999999   0.9948 0.0   0.0   0.0
absEta_2_2.5-bad-Et_43_44        runNumber   3   999999   0.9945 0.0   0.0   0.0
absEta_2_2.5-bad-Et_44_45        runNumber   3   999999   0.9942 0.0   0.0   0.0
absEta_2_2.5-bad-Et_45_46        runNumber   3   999999   0.9940 0.0   0.0   0.0
absEta_2_2.5-bad-Et_46_47        runNumber   3   999999   0.9937 0.0   0.0   0.0
absEta_2_2.5-bad-Et_47_48        runNumber   3   999999   0.9935 0.0   0.0   0.0
absEta_2_2.5-bad-Et_48_49        runNumber   3   999999   0.9932 0.0   0.0   0.0
absEta_2_2.5-bad-Et_49_50        runNumber   3   999999   0.9930 0.0   0.0   0.0
absEta_2_2.5-bad-Et_50_51        runNumber   3   999999   0.9928 0.0   0.0   0.0
absEta_2_2.5-bad-Et_51_52        runNumber   3   999999   0.9925 0.0   0.0   0.0
absEta_2_2.5-bad-Et_52_53        runNumber   3   999999   0.9923 0.0   0.0   0.0
absEta_2_2.5-bad-Et_53_54        runNumber   3   999999   0.9921 0.0   0.0   0.0
absEta_2_2.5-bad-Et_54_55        runNumber   3   999999   0.9919 0.0   0.0   0.0
absEta_2_2.5-bad-Et_55_56        runNumber   3   999999   0.9917 0.0   0.0   0.0
absEta_2_2.5-bad-Et_56_57        runNumber   3   999999   0.9915 0.0   0.0   0.0
absEta_2_2.5-bad-Et_57_58        runNumber   3   999999   0.9914 0.0   0.0   0.0
absEta_2_2.5-bad-Et_58_59        runNumber   3   999999   0.9912 0.0   0.0   0.0
absEta_2_2.5-bad-Et_59_60        runNumber   3   999999   0.9910 0.0   0.0   0.0
absEta_2_2.5-bad-Et_60_61        runNumber   3   999999   0.9908 0.0   0.0   0.0
absEta_2_2.5-bad-Et_61_62        runNumber   3   999999   0.9907 0.0   0.0   0.0
absEta_2_2.5-bad-Et_62_63        runNumber   3   999999   0.9905 0.0   0.0   0.0
absEta_2_2.5-bad-Et_63_64        runNumber   3   999999   0.9903 0.0   0.0   0.0
absEta_2_2.5-bad-Et_64_65        runNumber   3   999999   0.9902 0.0   0.0   0.0
absEta_2_2.5-bad-Et_65_66        runNumber   3   999999   0.9900 0.0   0.0   0.0
absEta_2_2.5-bad-Et_66_67        runNumber   3   999999   0.9899 0.0   0.0   0.0
absEta_2_2.5-bad-Et_67_68        runNumber   3   999999   0.9897 0.0   0.0   0.0
absEta_2_2.5-bad-Et_68_69        runNumber   3   999999   0.9896 0.0   0.0   0.0
absEta_2_2.5-bad-Et_69_70        runNumber   3   999999   0.9895 0.0   0.0   0.0
absEta_2_2.5-bad-Et_70_71        runNumber   3   999999   0.9893 0.0   0.0   0.0
absEta_2_2.5-bad-Et_71_72        runNumber   3   999999   0.9892 0.0   0.0   0.0
absEta_2_2.5-bad-Et_72_73        runNumber   3   999999   0.9891 0.0   0.0   0.0
absEta_2_2.5-bad-Et_73_74        runNumber   3   999999   0.9889 0.0   0.0   0.0
absEta_2_2.5-bad-Et_74_75        runNumber   3   999999   0.9888 0.0   0.0   0.0
absEta_2_2.5-bad-Et_75_76        runNumber   3   999999   0.9887 0.0   0.0   0.0
absEta_2_2.5-bad-Et_76_77        runNumber   3   999999   0.9886 0.0   0.0   0.0
absEta_2_2.5-bad-Et_77_78        runNumber   3   999999   0.9885 0.0   0.0   0.0
absEta_2_2.5-bad-Et_78_79        runNumber   3   999999   0.9883 0.0   0.0   0.0
absEta_2_2.5-bad-Et_79_80        runNumber   3   999999   0.9882 0.0   0.0   0.0
absEta_2_2.5-bad-Et_80_10000     runNumber   3   999999   0.9882 0.0   0.0   0.0
